SECID;INDID;Share;Industry
AGR;111150;AGR111150;Corn Farming 
AGR;111160;AGR111160;Rice Farming
AGR;111191;AGR111191;Oilseed and Grain Combination Farming 
AGR;111199;AGR111199;All Other Grain Farming 
AGR;111211;AGR111211;Potato Farming 
AGR;111219;AGR111219;Other Vegetable (except Potato) and Melon Farming 
AGR;111310;AGR111310;Orange Groves
AGR;111320;AGR111320;Citrus (except Orange) Groves 
AGR;111331;AGR111331;Apple Orchards 
AGR;111332;AGR111332;Grape Vineyards 
AGR;111333;AGR111333;Strawberry Farming 
AGR;111334;AGR111334;Berry (except Strawberry) Farming 
AGR;111335;AGR111335;Tree Nut Farming 
AGR;111336;AGR111336;Fruit and Tree Nut Combination Farming 
AGR;111339;AGR111339;Other Noncitrus Fruit Farming 
AGR;111411;AGR111411;Mushroom Production 
AGR;111419;AGR111419;Other Food Crops Grown Under Cover 
AGR;111421;AGR111421;Nursery and Tree Production 
AGR;111422;AGR111422;Floriculture Production 
AGR;111910;AGR111910;Tobacco Farming
AGR;111920;AGR111920;Cotton Farming
AGR;111930;AGR111930;Sugarcane Farming
AGR;111940;AGR111940;Hay Farming 
AGR;111991;AGR111991;Sugar Beet Farming 
AGR;111992;AGR111992;Peanut Farming 
AGR;111998;AGR111998;All Other Miscellaneous Crop Farming 
AGR;112111;AGR112111;Beef Cattle Ranching and Farming 
AGR;112112;AGR112112;Cattle Feedlots 
AGR;112120;AGR112120;Dairy Cattle and Milk Production
AGR;112130;AGR112130;Dual-Purpose Cattle Ranching and Farming 
AGR;112210;AGR112210;Hog and Pig Farming 
AGR;112310;AGR112310;Chicken Egg Production 
AGR;112320;AGR112320;Broilers and Other Meat Type Chicken Production 
AGR;112330;AGR112330;Turkey Production
AGR;112340;AGR112340;Poultry Hatcheries
AGR;112390;AGR112390;Other Poultry Production 
AGR;112410;AGR112410;Sheep Farming
AGR;112420;AGR112420;Goat Farming
AGR;112511;AGR112511;Finfish Farming and Fish Hatcheries 
AGR;112512;AGR112512;Shellfish Farming 
AGR;112519;AGR112519;Other Aquaculture 
AGR;112910;AGR112910;Apiculture
AGR;112920;AGR112920;Horses and Other Equine Production
AGR;112930;AGR112930;Fur-Bearing Animal and Rabbit Production
AGR;112990;AGR112990;All Other Animal Production 
AGR;113110;AGR113110;Timber Tract Operations
AGR;113210;AGR113210;Forest Nurseries and Gathering of Forest Products 
AGR;113310;AGR113310;Logging 
AGR;114111;AGR114111;Finfish Fishing 
AGR;114112;AGR114112;Shellfish Fishing 
AGR;114119;AGR114119;Other Marine Fishing 
AGR;114210;AGR114210;Hunting and Trapping
AGR;115111;AGR115111;Cotton Ginning 
AGR;115112;AGR115112;Soil Preparation- Planting- and Cultivating 
AGR;115113;AGR115113;Crop Harvesting- Primarily by Machine 
AGR;115114;AGR115114;Postharvest Crop Activities (except Cotton Ginning) 
AGR;115115;AGR115115;Farm Labor Contractors and Crew Leaders 
AGR;115116;AGR115116;Farm Management Services 
AGR;115210;AGR115210;Support Activities for Animal Production
AGR;115310;AGR115310;Support Activities for Forestry
MIN;211;MIN211;Oil and Gas Extraction
MIN;212;MIN212;Mining (excepOil and Gas)
MIN;213;MIN213;SupporActivities for Mining
MIN;2111;MIN2111;Oil and Gas Extraction
MIN;2121;MIN2121;Coal Mining
MIN;2122;MIN2122;Metal Ore Mining
MIN;2123;MIN2123;Nonmetallic Mineral Mining and Quarrying
MIN;2131;MIN2131;SupporActivities for Mining
MIN;21112;MIN21112;Crude Petroleum Extraction 
MIN;21113;MIN21113;Natural Gas Extraction 
MIN;21211;MIN21211;Coal Mining
MIN;21221;MIN21221;Iron Ore Mining
MIN;21222;MIN21222;Gold Ore and Silver Ore Mining
MIN;21223;MIN21223;Copper- Nickel- Lead- and Zinc Mining
MIN;21229;MIN21229;Other Metal Ore Mining
MIN;21231;MIN21231;Stone Mining and Quarrying
MIN;21232;MIN21232;Sand- Gravel- Clay- and Ceramic and Refractory Minerals Mining and Quarrying
MIN;21239;MIN21239;Other Nonmetallic Mineral Mining and Quarrying
MIN;21311;MIN21311;SupporActivities for Mining
MIN;211120;MIN211120;Crude Petroleum Extraction 
MIN;211130;MIN211130;Natural Gas Extraction 
MIN;212111;MIN212111;Bituminous Coal and Lignite Surface Mining 
MIN;212112;MIN212112;Bituminous Coal Underground Mining 
MIN;212113;MIN212113;Anthracite Mining 
MIN;212210;MIN212210;Iron Ore Mining
MIN;212221;MIN212221;Gold Ore Mining 
MIN;212222;MIN212222;Silver Ore Mining 
MIN;212230;MIN212230;Copper- Nickel- Lead- and Zinc Mining 
MIN;212291;MIN212291;Uranium-Radium-Vanadium Ore Mining 
MIN;212299;MIN212299;All Other Metal Ore Mining 
MIN;212311;MIN212311;Dimension Stone Mining and Quarrying 
MIN;212312;MIN212312;Crushed and Broken Limestone Mining and Quarrying 
MIN;212313;MIN212313;Crushed and Broken Granite Mining and Quarrying 
MIN;212319;MIN212319;Other Crushed and Broken Stone Mining and Quarrying 
MIN;212321;MIN212321;Construction Sand and Gravel Mining 
MIN;212322;MIN212322;Industrial Sand Mining 
MIN;212324;MIN212324;Kaolin and Ball Clay Mining 
MIN;212325;MIN212325;Clay and Ceramic and Refractory Minerals Mining 
MIN;212391;MIN212391;Potash- Soda- and Borate Mineral Mining 
MIN;212392;MIN212392;Phosphate Rock Mining 
MIN;212393;MIN212393;Other Chemical and Fertilizer Mineral Mining 
MIN;212399;MIN212399;All Other Nonmetallic Mineral Mining 
MIN;213111;MIN213111;Drilling Oil and Gas Wells
MIN;213112;MIN213112;Support Activities for Oil and Gas Operations 
MIN;213113;MIN213113;Support Activities for Coal Mining 
MIN;213114;MIN213114;Support Activities for Metal Mining 
MIN;213115;MIN213115;Support Activities for Nonmetallic Minerals (except Fuels) Mining 
UTL;221;UTL221;Utilities
UTL;2211;UTL2211;Electric Power Generation- Transmission and Distribution
UTL;2212;UTL2212;Natural Gas Distribution
UTL;2213;UTL2213;Water- Sewage and Other Systems
UTL;22111;UTL22111;Electric Power Generation
UTL;22112;UTL22112;Electric Power Transmission- Control- and Distribution
UTL;22121;UTL22121;Natural Gas Distribution
UTL;22131;UTL22131;Water Supply and Irrigation Systems 
UTL;22132;UTL22132;Sewage Treatment Facilities 
UTL;22133;UTL22133;Steam and Air-Conditioning Supply 
UTL;221111;UTL221111;Hydroelectric Power Generation 
UTL;221112;UTL221112;Fossil Fuel Electric Power Generation 
UTL;221113;UTL221113;Nuclear Electric Power Generation 
UTL;221114;UTL221114;Solar Electric Power Generation 
UTL;221115;UTL221115;Wind Electric Power Generation 
UTL;221116;UTL221116;Geothermal Electric Power Generation 
UTL;221117;UTL221117;Biomass Electric Power Generation 
UTL;221118;UTL221118;Other Electric Power Generation 
UTL;221121;UTL221121;Electric Bulk Power Transmission and Control 
UTL;221122;UTL221122;Electric Power Distribution 
UTL;221210;UTL221210;Natural Gas Distribution 
UTL;221310;UTL221310;Water Supply and Irrigation Systems 
UTL;221320;UTL221320;Sewage Treatment Facilities 
UTL;221330;UTL221330;Steam and Air-Conditioning Supply 
CON;236;CON236;Construction of Buildings
CON;237;CON237;Heavy and Civil Engineering Construction
CON;238;CON238;Specialty Trade Contractors
CON;2361;CON2361;Residential Building Construction
CON;2362;CON2362;Nonresidential Building Construction
CON;2371;CON2371;Utility System Construction
CON;2372;CON2372;Land Subdivision
CON;2373;CON2373;Highway- Street- and Bridge Construction
CON;2379;CON2379;Other Heavy and Civil Engineering Construction
CON;2381;CON2381;Foundation- Structure- and Building Exterior Contractors
CON;2382;CON2382;Building EquipmenContractors
CON;2383;CON2383;Building Finishing Contractors
CON;2389;CON2389;Other Specialty Trade Contractors
CON;23611;CON23611;Residential Building Construction
CON;23621;CON23621;Industrial Building Construction
CON;23622;CON23622;Commercial and Institutional Building Construction
CON;23711;CON23711;Water and Sewer Line and Related Structures Construction
CON;23712;CON23712;Oil and Gas Pipeline and Related Structures Construction
CON;23713;CON23713;Power and Communication Line and Related Structures Construction
CON;23721;CON23721;Land Subdivision
CON;23731;CON23731;Highway- Street- and Bridge Construction
CON;23799;CON23799;Other Heavy and Civil Engineering Construction
CON;23811;CON23811;Poured Concrete Foundation and Structure Contractors 
CON;23812;CON23812;Structural Steel and Precast Concrete Contractors 
CON;23813;CON23813;Framing Contractors 
CON;23814;CON23814;Masonry Contractors 
CON;23815;CON23815;Glass and Glazing Contractors 
CON;23816;CON23816;Roofing Contractors 
CON;23817;CON23817;Siding Contractors 
CON;23819;CON23819;Other Foundation- Structure- and Building Exterior Contractors 
CON;23821;CON23821;Electrical Contractors and Other Wiring Installation Contractors
CON;23822;CON23822;Plumbing- Heating- and Air-Conditioning Contractors
CON;23829;CON23829;Other Building EquipmenContractors
CON;23831;CON23831;Drywall and Insulation Contractors
CON;23832;CON23832;Painting and Wall Covering Contractors
CON;23833;CON23833;Flooring Contractors
CON;23834;CON23834;Tile and Terrazzo Contractors
CON;23835;CON23835;Finish Carpentry Contractors
CON;23839;CON23839;Other Building Finishing Contractors
CON;23891;CON23891;Site Preparation Contractors
CON;23899;CON23899;All Other Specialty Trade Contractors
CON;236115;CON236115;New Single-Family Housing Construction (except For-Sale Builders) 
CON;236116;CON236116;New Multifamily Housing Construction (except For-Sale Builders) 
CON;236117;CON236117;New Housing For-Sale Builders 
CON;236118;CON236118;Residential Remodelers 
CON;236210;CON236210;Industrial Building Construction 
CON;236220;CON236220;Commercial and Institutional Building Construction 
CON;237110;CON237110;Water and Sewer Line and Related Structures Construction 
CON;237120;CON237120;Oil and Gas Pipeline and Related Structures Construction 
CON;237130;CON237130;Power and Communication Line and Related Structures Construction 
CON;237210;CON237210;Land Subdivision 
CON;237310;CON237310;Highway- Street- and Bridge Construction 
CON;237990;CON237990;Other Heavy and Civil Engineering Construction 
CON;238110;CON238110;Poured Concrete Foundation and Structure Contractors 
CON;238120;CON238120;Structural Steel and Precast Concrete Contractors 
CON;238130;CON238130;Framing Contractors 
CON;238140;CON238140;Masonry Contractors 
CON;238150;CON238150;Glass and Glazing Contractors 
CON;238160;CON238160;Roofing Contractors 
CON;238170;CON238170;Siding Contractors 
CON;238190;CON238190;Other Foundation- Structure- and Building Exterior Contractors 
CON;238210;CON238210;Electrical Contractors and Other Wiring Installation Contractors
CON;238220;CON238220;Plumbing- Heating- and Air-Conditioning Contractors 
CON;238290;CON238290;Other Building Equipment Contractors 
CON;238310;CON238310;Drywall and Insulation Contractors 
CON;238320;CON238320;Painting and Wall Covering Contractors
CON;238330;CON238330;Flooring Contractors
CON;238340;CON238340;Tile and Terrazzo Contractors
CON;238350;CON238350;Finish Carpentry Contractors
CON;238390;CON238390;Other Building Finishing Contractors
CON;238910;CON238910;Site Preparation Contractors
CON;238990;CON238990;All Other Specialty Trade Contractors
WHL;423;WHL423;Merchant Wholesalers- Durable Goods 
WHL;424;WHL424;Merchant Wholesalers- Nondurable Goods 
WHL;425;WHL425;Wholesale Electronic Markets and Agents and Brokers 
WHL;4231;WHL4231;Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers 
WHL;4232;WHL4232;Furniture and Home Furnishing Merchant Wholesalers 
WHL;4233;WHL4233;Lumber and Other Construction Materials Merchant Wholesalers 
WHL;4234;WHL4234;Professional and Commercial Equipment and Supplies Merchant Wholesalers 
WHL;4235;WHL4235;Metal and Mineral (except Petroleum) Merchant Wholesalers 
WHL;4236;WHL4236;Household Appliances and Electrical and Electronic Goods Merchant Wholesalers 
WHL;4237;WHL4237;Hardware- and Plumbing and Heating Equipment and Supplies Merchant Wholesalers 
WHL;4238;WHL4238;Machinery- Equipment- and Supplies Merchant Wholesalers 
WHL;4239;WHL4239;Miscellaneous Durable Goods Merchant Wholesalers 
WHL;4241;WHL4241;Paper and Paper Product Merchant Wholesalers 
WHL;4242;WHL4242;Drugs and Druggists' Sundries Merchant Wholesalers 
WHL;4243;WHL4243;Apparel- Piece Goods- and Notions Merchant Wholesalers 
WHL;4244;WHL4244;Grocery and Related Product Merchant Wholesalers 
WHL;4245;WHL4245;Farm Product Raw Material Merchant Wholesalers 
WHL;4246;WHL4246;Chemical and Allied Products Merchant Wholesalers 
WHL;4247;WHL4247;Petroleum and Petroleum Products Merchant Wholesalers 
WHL;4248;WHL4248;Beer- Wine- and Distilled Alcoholic Beverage Merchant Wholesalers 
WHL;4249;WHL4249;Miscellaneous Nondurable Goods Merchant Wholesalers 
WHL;4251;WHL4251;Wholesale Electronic Markets and Agents and Brokers 
WHL;42311;WHL42311;Automobile and Other Motor Vehicle Merchant Wholesalers 
WHL;42312;WHL42312;Motor Vehicle Supplies and New Parts Merchant Wholesalers 
WHL;42313;WHL42313;Tire and Tube Merchant Wholesalers 
WHL;42314;WHL42314;Motor Vehicle Parts (Used) Merchant Wholesalers 
WHL;42321;WHL42321;Furniture Merchant Wholesalers 
WHL;42322;WHL42322;Home Furnishing Merchant Wholesalers 
WHL;42331;WHL42331;Lumber- Plywood- Millwork- and Wood Panel Merchant Wholesalers 
WHL;42332;WHL42332;Brick- Stone- and Related Construction Material Merchant Wholesalers 
WHL;42333;WHL42333;Roofing- Siding- and Insulation Material Merchant Wholesalers 
WHL;42339;WHL42339;Other Construction Material Merchant Wholesalers 
WHL;42341;WHL42341;Photographic Equipment and Supplies Merchant Wholesalers 
WHL;42342;WHL42342;Office Equipment Merchant Wholesalers 
WHL;42343;WHL42343;Computer and Computer Peripheral Equipment and Software Merchant Wholesalers 
WHL;42344;WHL42344;Other Commercial Equipment Merchant Wholesalers 
WHL;42345;WHL42345;Medical- Dental- and Hospital Equipment and Supplies Merchant Wholesalers 
WHL;42346;WHL42346;Ophthalmic Goods Merchant Wholesalers 
WHL;42349;WHL42349;Other Professional Equipment and Supplies Merchant Wholesalers 
WHL;42351;WHL42351;Metal Service Centers and Other Metal Merchant Wholesalers 
WHL;42352;WHL42352;Coal and Other Mineral and Ore Merchant Wholesalers 
WHL;42361;WHL42361;Electrical Apparatus and Equipment- Wiring Supplies- and Related Equipment Merchant Wholesalers 
WHL;42362;WHL42362;Household Appliances- Electric Housewares- and Consumer Electronics Merchant Wholesalers 
WHL;42369;WHL42369;Other Electronic Parts and Equipment Merchant Wholesalers 
WHL;42371;WHL42371;Hardware Merchant Wholesalers 
WHL;42372;WHL42372;Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers 
WHL;42373;WHL42373;Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers 
WHL;42374;WHL42374;Refrigeration Equipment and Supplies Merchant Wholesalers 
WHL;42381;WHL42381;Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers 
WHL;42382;WHL42382;Farm and Garden Machinery and Equipment Merchant Wholesalers 
WHL;42383;WHL42383;Industrial Machinery and Equipment Merchant Wholesalers 
WHL;42384;WHL42384;Industrial Supplies Merchant Wholesalers 
WHL;42385;WHL42385;Service Establishment Equipment and Supplies Merchant Wholesalers 
WHL;42386;WHL42386;Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers 
WHL;42391;WHL42391;Sporting and Recreational Goods and Supplies Merchant Wholesalers
WHL;42392;WHL42392;Toy and Hobby Goods and Supplies Merchant Wholesalers 
WHL;42393;WHL42393;Recyclable Material Merchant Wholesalers 
WHL;42394;WHL42394;Jewelry- Watch- Precious Stone- and Precious Metal Merchant Wholesalers 
WHL;42399;WHL42399;Other Miscellaneous Durable Goods Merchant Wholesalers 
WHL;42411;WHL42411;Printing and Writing Paper Merchant Wholesalers 
WHL;42412;WHL42412;Stationery and Office Supplies Merchant Wholesalers 
WHL;42413;WHL42413;Industrial and Personal Service Paper Merchant Wholesalers 
WHL;42421;WHL42421;Drugs and Druggists' Sundries Merchant Wholesalers 
WHL;42431;WHL42431;Piece Goods- Notions- and Other Dry Goods Merchant Wholesalers 
WHL;42432;WHL42432;Men's and Boys' Clothing and Furnishings Merchant Wholesalers 
WHL;42433;WHL42433;Women's- Children's- and Infants' Clothing and Accessories Merchant Wholesalers 
WHL;42434;WHL42434;Footwear Merchant Wholesalers 
WHL;42441;WHL42441;General Line Grocery Merchant Wholesalers 
WHL;42442;WHL42442;Packaged Frozen Food Merchant Wholesalers 
WHL;42443;WHL42443;Dairy Product (except Dried or Canned) Merchant Wholesalers 
WHL;42444;WHL42444;Poultry and Poultry Product Merchant Wholesalers 
WHL;42445;WHL42445;Confectionery Merchant Wholesalers 
WHL;42446;WHL42446;Fish and Seafood Merchant Wholesalers 
WHL;42447;WHL42447;Meat and Meat Product Merchant Wholesalers 
WHL;42448;WHL42448;Fresh Fruit and Vegetable Merchant Wholesalers 
WHL;42449;WHL42449;Other Grocery and Related Products Merchant Wholesalers 
WHL;42451;WHL42451;Grain and Field Bean Merchant Wholesalers 
WHL;42452;WHL42452;Livestock Merchant Wholesalers 
WHL;42459;WHL42459;Other Farm Product Raw Material Merchant Wholesalers 
WHL;42461;WHL42461;Plastics Materials and Basic Forms and Shapes Merchant Wholesalers 
WHL;42469;WHL42469;Other Chemical and Allied Products Merchant Wholesalers 
WHL;42471;WHL42471;Petroleum Bulk Stations and Terminals 
WHL;42472;WHL42472;Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) 
WHL;42481;WHL42481;Beer and Ale Merchant Wholesalers 
WHL;42482;WHL42482;Wine and Distilled Alcoholic Beverage Merchant Wholesalers 
WHL;42491;WHL42491;Farm Supplies Merchant Wholesalers 
WHL;42492;WHL42492;Book- Periodical- and Newspaper Merchant Wholesalers 
WHL;42493;WHL42493;Flower- Nursery Stock- and Florists' Supplies Merchant Wholesalers 
WHL;42494;WHL42494;Tobacco and Tobacco Product Merchant Wholesalers 
WHL;42495;WHL42495;Paint- Varnish- and Supplies Merchant Wholesalers 
WHL;42499;WHL42499;Other Miscellaneous Nondurable Goods Merchant Wholesalers 
WHL;42511;WHL42511;Business to Business Electronic Markets 
WHL;42512;WHL42512;Wholesale Trade Agents and Brokers 
WHL;423110;WHL423110;Automobile and Other Motor Vehicle Merchant Wholesalers 
WHL;423120;WHL423120;Motor Vehicle Supplies and New Parts Merchant Wholesalers 
WHL;423130;WHL423130;Tire and Tube Merchant Wholesalers 
WHL;423140;WHL423140;Motor Vehicle Parts (Used) Merchant Wholesalers 
WHL;423210;WHL423210;Furniture Merchant Wholesalers 
WHL;423220;WHL423220;Home Furnishing Merchant Wholesalers 
WHL;423310;WHL423310;Lumber- Plywood- Millwork- and Wood Panel Merchant Wholesalers 
WHL;423320;WHL423320;Brick- Stone- and Related Construction Material Merchant Wholesalers 
WHL;423330;WHL423330;Roofing- Siding- and Insulation Material Merchant Wholesalers 
WHL;423390;WHL423390;Other Construction Material Merchant Wholesalers 
WHL;423410;WHL423410;Photographic Equipment and Supplies Merchant Wholesalers 
WHL;423420;WHL423420;Office Equipment Merchant Wholesalers 
WHL;423430;WHL423430;Computer and Computer Peripheral Equipment and Software Merchant Wholesalers 
WHL;423440;WHL423440;Other Commercial Equipment Merchant Wholesalers 
WHL;423450;WHL423450;Medical- Dental- and Hospital Equipment and Supplies Merchant Wholesalers 
WHL;423460;WHL423460;Ophthalmic Goods Merchant Wholesalers 
WHL;423490;WHL423490;Other Professional Equipment and Supplies Merchant Wholesalers 
WHL;423510;WHL423510;Metal Service Centers and Other Metal Merchant Wholesalers 
WHL;423520;WHL423520;Coal and Other Mineral and Ore Merchant Wholesalers 
WHL;423610;WHL423610;Electrical Apparatus and Equipment- Wiring Supplies- and Related Equipment Merchant Wholesalers 
WHL;423620;WHL423620;Household Appliances- Electric Housewares- and Consumer Electronics Merchant Wholesalers 
WHL;423690;WHL423690;Other Electronic Parts and Equipment Merchant Wholesalers 
WHL;423710;WHL423710;Hardware Merchant Wholesalers 
WHL;423720;WHL423720;Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers 
WHL;423730;WHL423730;Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers 
WHL;423740;WHL423740;Refrigeration Equipment and Supplies Merchant Wholesalers 
WHL;423810;WHL423810;Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers 
WHL;423820;WHL423820;Farm and Garden Machinery and Equipment Merchant Wholesalers 
WHL;423830;WHL423830;Industrial Machinery and Equipment Merchant Wholesalers 
WHL;423840;WHL423840;Industrial Supplies Merchant Wholesalers
WHL;423850;WHL423850;Service Establishment Equipment and Supplies Merchant Wholesalers 
WHL;423860;WHL423860;Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers 
WHL;423910;WHL423910;Sporting and Recreational Goods and Supplies Merchant Wholesalers 
WHL;423920;WHL423920;Toy and Hobby Goods and Supplies Merchant Wholesalers 
WHL;423930;WHL423930;Recyclable Material Merchant Wholesalers 
WHL;423940;WHL423940;Jewelry- Watch- Precious Stone- and Precious Metal Merchant Wholesalers 
WHL;423990;WHL423990;Other Miscellaneous Durable Goods Merchant Wholesalers 
WHL;424110;WHL424110;Printing and Writing Paper Merchant Wholesalers 
WHL;424120;WHL424120;Stationery and Office Supplies Merchant Wholesalers 
WHL;424130;WHL424130;Industrial and Personal Service Paper Merchant Wholesalers 
WHL;424210;WHL424210;Drugs and Druggists' Sundries Merchant Wholesalers 
WHL;424310;WHL424310;Piece Goods- Notions- and Other Dry Goods Merchant Wholesalers 
WHL;424320;WHL424320;Men's and Boys' Clothing and Furnishings Merchant Wholesalers 
WHL;424330;WHL424330;Women's- Children's- and Infants' Clothing and Accessories Merchant Wholesalers 
WHL;424340;WHL424340;Footwear Merchant Wholesalers 
WHL;424410;WHL424410;General Line Grocery Merchant Wholesalers 
WHL;424420;WHL424420;Packaged Frozen Food Merchant Wholesalers 
WHL;424430;WHL424430;Dairy Product (except Dried or Canned) Merchant Wholesalers 
WHL;424440;WHL424440;Poultry and Poultry Product Merchant Wholesalers 
WHL;424450;WHL424450;Confectionery Merchant Wholesalers 
WHL;424460;WHL424460;Fish and Seafood Merchant Wholesalers 
WHL;424470;WHL424470;Meat and Meat Product Merchant Wholesalers 
WHL;424480;WHL424480;Fresh Fruit and Vegetable Merchant Wholesalers 
WHL;424490;WHL424490;Other Grocery and Related Products Merchant Wholesalers 
WHL;424510;WHL424510;Grain and Field Bean Merchant Wholesalers 
WHL;424520;WHL424520;Livestock Merchant Wholesalers 
WHL;424590;WHL424590;Other Farm Product Raw Material Merchant Wholesalers 
WHL;424610;WHL424610;Plastics Materials and Basic Forms and Shapes Merchant Wholesalers 
WHL;424690;WHL424690;Other Chemical and Allied Products Merchant Wholesalers 
WHL;424710;WHL424710;Petroleum Bulk Stations and Terminals 
WHL;424720;WHL424720;Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) 
WHL;424810;WHL424810;Beer and Ale Merchant Wholesalers 
WHL;424820;WHL424820;Wine and Distilled Alcoholic Beverage Merchant Wholesalers 
WHL;424910;WHL424910;Farm Supplies Merchant Wholesalers 
WHL;424920;WHL424920;Book- Periodical- and Newspaper Merchant Wholesalers 
WHL;424930;WHL424930;Flower- Nursery Stock- and Florists' Supplies Merchant Wholesalers 
WHL;424940;WHL424940;Tobacco and Tobacco Product Merchant Wholesalers 
WHL;424950;WHL424950;Paint- Varnish- and Supplies Merchant Wholesalers 
WHL;424990;WHL424990;Other Miscellaneous Nondurable Goods Merchant Wholesalers 
WHL;425110;WHL425110;Business to Business Electronic Markets 
WHL;425120;WHL425120;Wholesale Trade Agents and Brokers 
INF;511;INF511;Publishing Industries (excepInternet)
INF;512;INF512;Motion Picture and Sound Recording Industries
INF;515;INF515;Broadcasting (excepInternet)
INF;517;INF517;Telecommunications
INF;518;INF518;Data Processing- Hosting- and Related Services
INF;519;INF519;Other Information Services
INF;5111;INF5111;Newspaper- Periodical- Book- and Directory Publishers
INF;5112;INF5112;Software Publishers
INF;5121;INF5121;Motion Picture and Video Industries
INF;5122;INF5122;Sound Recording Industries
INF;5151;INF5151;Radio and Television Broadcasting
INF;5152;INF5152;Cable and Other Subscription Programming
INF;5173;INF5173;Wired and Wireless Telecommunications Carriers
INF;5174;INF5174;Satellite Telecommunications
INF;5179;INF5179;Other Telecommunications
INF;5182;INF5182;Data Processing- Hosting- and Related Services
INF;5191;INF5191;Other Information Services
INF;51111;INF51111;Newspaper Publishers
INF;51112;INF51112;Periodical Publishers
INF;51113;INF51113;Book Publishers
INF;51114;INF51114;Directory and Mailing LisPublishers
INF;51119;INF51119;Other Publishers
